"","npp","vegc","soilc","litc","allc","allc_veg","rh"
"1747",66.2890570202873,1022.91556961795,2519.95949519424,493.235417716997,3013.19491291123,4036.11048252918,60.495514495324
"1748",64.8136867352634,1022.29272541791,2519.79622332319,492.826135592257,3012.62235891544,4034.91508433336,60.1194238764554
"1749",63.3291733545972,1020.49122018392,2519.39637680609,492.729300721711,3012.1256775278,4032.61689771172,59.4760770492484
"1750",64.9945703494554,1020.06409122893,2518.94016100417,492.698885161301,3011.63904616547,4031.70313739439,60.238950411482
"1751",65.7947994294933,1020.71548394721,2518.39334417719,493.019616962602,3011.41296113979,4032.12844508701,59.6386970852911
"1752",62.9088630578822,1018.81927046856,2517.88160863166,493.107805419812,3010.98941405147,4029.80868452003,59.0150450257806
"1753",65.3843004986251,1019.71146212733,2517.61310572846,492.961133692853,3010.57423942131,4030.28570154864,59.0137817366151
"1754",67.1729067859941,1021.70861947901,2517.42196278853,493.314032877343,3010.73599566588,4032.44461514489,59.1788220325718
"1755",65.0732297398019,1021.73439832199,2517.10969207446,493.40843751262,3010.51812958708,4032.25252790907,59.5631635138879
"1756",66.6151242077054,1022.04811746486,2516.89095246372,493.681000602087,3010.57195306581,4032.62007053067,60.2629332732296
"1757",67.0387468943365,1023.31319099954,2517.17531923426,494.203569310682,3011.37888854494,4034.69207954448,59.2202651863461
"1758",65.9608379997472,1023.16762442742,2517.84380926038,494.167191247282,3012.01100050766,4035.17862493508,59.7392265332035
"1759",65.6225093391265,1022.49295935137,2518.56628655474,493.960406859802,3012.52669341454,4035.01965276591,59.6203508994866
"1760",66.991238671491,1023.10295816959,2518.85350568264,494.176693562672,3013.03019924532,4036.1331574149,60.1394616003489
"1761",65.6865356685679,1023.31178896893,2519.04494967108,493.8515836124,3012.89653328348,4036.20832225242,59.9353369910942
"1762",65.6210606341225,1024.17456131441,2519.18801405659,493.115024470473,3012.30303852706,4036.47759984147,59.4559158066727
"1763",64.5856903170542,1022.42512936108,2519.71890895417,493.377068752649,3013.09597770682,4035.5211070679,59.7413534588067
"1764",65.8487467546436,1022.81258364669,2519.30284549714,493.112560956546,3012.41540645369,4035.22799010038,60.3951053993848
"1765",66.2880303227116,1022.91535448942,2518.93708038816,493.639928285759,3012.57700867392,4035.49236316334,60.1440874666994
"1766",66.5158281469832,1022.76384251013,2519.49242376212,494.276880643498,3013.76930440562,4036.53314691574,59.7265625498088
"1767",67.1092866035931,1022.47123609143,2520.03592700812,495.847069254981,3015.8829962631,4038.35423235453,59.3508137115712
"1768",64.4816135515303,1021.17336705392,2520.0957068379,495.354024194972,3015.44973103287,4036.6230980868,59.9305059022903
"1769",64.8642375320447,1020.9707212101,2519.9625625043,494.658951148408,3014.62151365271,4035.5922348628,60.1293826067834
"1770",67.1563797260934,1022.47675844336,2520.2279017676,494.410197956599,3014.6380997242,4037.11485816756,59.9748189543648
"1771",68.3530198041128,1024.03718280503,2520.29896827719,494.574716497798,3014.87368477499,4038.91086758002,60.7308748633826
"1772",65.7362974971451,1023.29013866261,2520.66079194257,494.384368717274,3015.04516065985,4038.33529932246,60.588693341231
"1773",66.4131203585245,1023.74264855179,2520.76312515716,493.825154255193,3014.58827941235,4038.33092796414,60.7004356176631
"1774",64.7407082530327,1022.17372644252,2520.45534851966,494.071319784932,3014.52666830459,4036.70039474711,60.236798996519
"1775",66.3548574641154,1021.54934838343,2520.66010215196,494.727221944154,3015.38732409611,4036.93667247954,60.6592522189482
"1776",65.6110190787383,1022.276093068,2520.16470108324,493.791154296422,3013.95585537966,4036.23194844766,60.5862774375582
"1777",66.2400019423106,1022.90573891336,2520.26545221414,493.286320040638,3013.55177225478,4036.45751116814,60.4637041719619
"1778",64.9938868889015,1022.47820081909,2520.10170941498,492.90073042922,3013.0024398442,4035.4806406633,60.1053807544767
"1779",63.6023901315476,1020.82727043999,2519.7336206929,492.900699608641,3012.63432030154,4033.46159074153,59.4767570988818
"1780",65.0160574487526,1020.29155714879,2519.29292889022,492.961155848748,3012.25408473897,4032.54564188775,60.2589314620641
"1781",65.658658154106,1020.82008963022,2518.72520200131,493.248850219861,3011.97405222117,4032.79414185139,59.6459648104683
